"Population estimates, July 1, by census division, 2016 boundaries 1 2 3 4 5 6"
"Frequency: Annual"
"Table: 17-10-0139-01"
"Release date: 2023-01-11"
"Geography: Canada, Province or territory, Census division"
""
""

"Sex","Both sexes",,,,,,,,,,,,,,,,,,,,,
"Age group 7","All ages",,,,,,,,,,,,,,,,,,,,,
"Geography","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
,"Persons",,,,,,,,,,,,,,,,,,,,,
"Canada","31,020,902","31,360,079","31,644,028","31,940,655","32,243,753","32,571,174","32,889,025","33,247,118","33,628,895","34,004,889","34,339,328","34,714,222","35,082,954","35,437,435","35,702,908","36,109,487","36,545,236","37,065,084","37,601,230","38,007,166","38,226,498","38,929,902"
"Montmagny, Quebec","23,868","23,710","23,538","23,417","23,384","23,296","23,130","23,047","23,029","23,109","23,071","23,060","22,960","22,873","22,850","22,723","22,670","22,640","22,558","22,540","22,778","22,858"
"Bellechasse, Quebec","33,996","33,972","34,057","34,006","33,885","33,679","33,843","34,064","34,459","35,078","35,663","36,190","36,611","36,948","37,162","37,396","37,608","37,527","37,644","37,962","38,572","38,877"
"L'Île-d'Orléans, Quebec","6,902","6,902","7,000","6,926","6,872","6,868","6,823","6,762","6,791","6,756","6,752","6,858","6,895","6,948","7,108","7,276","7,322","7,604","7,534","7,514","7,488","7,404"
"La Côte-de-Beaupré, Quebec","21,414","21,636","21,973","22,353","22,869","23,232","23,786","24,445","25,246","25,861","26,450","26,859","27,282","27,663","27,967","28,348","28,656","28,923","29,266","29,785","30,478","31,066"
"La Jacques-Cartier, Quebec","27,057","27,725","28,330","28,921","29,402","30,267","31,441","32,657","34,153","35,938","37,611","38,970","40,384","41,540","42,741","43,889","44,635","45,512","46,165","46,849","48,264","49,234"
"Québec, Quebec","520,110","523,158","525,433","527,565","529,343","532,029","536,694","542,655","548,396","554,316","560,024","562,570","565,450","568,163","569,917","572,693","576,028","579,984","585,773","589,139","589,329","597,089"
"Lévis, Quebec","124,484","125,506","126,473","127,601","129,413","131,498","133,736","135,602","137,370","138,901","140,075","140,890","141,362","141,928","142,964","144,224","144,996","146,374","147,762","150,011","152,168","154,775"
"La Nouvelle-Beauce, Quebec","31,293","31,389","31,411","31,551","31,566","31,791","32,385","33,128","33,853","34,695","35,471","35,785","36,286","36,563","36,797","37,030","37,449","37,798","37,931","37,890","38,548","39,249"
"Robert-Cliche, Quebec","19,145","19,000","19,030","19,044","19,014","18,936","19,078","19,046","19,193","19,348","19,417","19,300","19,327","19,209","19,147","19,172","19,178","19,221","19,303","19,324","19,296","19,538"
"Les Etchemins, Quebec","18,068","17,962","17,868","17,857","17,808","17,672","17,646","17,555","17,394","17,390","17,319","17,144","16,965","16,768","16,584","16,571","16,510","16,465","16,475","16,578","16,831","16,989"
"Beauce-Sartigan, Quebec","48,841","49,061","49,284","49,538","49,829","50,094","50,255","50,495","50,742","51,078","51,509","51,702","51,873","52,139","52,469","52,718","53,004","53,401","53,697","53,945","54,101","54,572"
"Le Granit, Quebec","22,199","22,463","22,445","22,415","22,513","22,480","22,430","22,451","22,434","22,384","22,301","22,070","21,946","21,640","21,514","21,504","21,467","21,445","21,405","21,580","21,877","22,112"
"Les Appalaches, Quebec","44,049","43,776","43,628","43,682","43,679","43,530","43,507","43,326","43,385","43,313","43,351","43,071","42,721","42,547","42,439","42,404","42,499","42,541","42,597","43,035","43,435","43,844"
"L'Érable, Quebec","24,454","24,158","23,939","23,726","23,463","23,268","23,236","23,246","23,327","23,496","23,513","23,466","23,497","23,411","23,471","23,484","23,510","23,480","23,736","23,980","24,349","24,671"
"Lotbinière, Quebec","27,355","27,326","27,357","27,364","27,562","27,641","27,855","28,137","28,636","29,370","29,936","30,415","30,830","31,098","31,484","31,960","32,493","32,941","33,332","33,824","34,631","35,427"
"Portneuf, Quebec","45,827","46,052","46,246","46,444","46,640","46,786","47,034","47,570","48,195","48,972","49,874","50,559","51,464","52,027","52,602","53,173","53,644","54,105","54,434","55,118","56,394","57,490"
"Mékinac, Quebec","13,045","13,012","12,834","12,791","12,734","12,692","12,750","12,787","12,849","12,910","12,962","12,848","12,711","12,562","12,388","12,364","12,334","12,365","12,377","12,485","12,671","12,845"
"Shawinigan, Quebec","52,986","52,485","52,322","52,294","52,250","52,043","51,963","51,616","51,148","50,744","50,276","50,063","49,917","49,752","49,481","49,430","49,335","49,360","49,447","49,854","50,786","51,579"
"Francheville, Quebec","142,162","142,001","142,358","142,987","143,502","144,324","145,655","146,807","148,064","149,519","150,548","151,047","151,504","152,272","152,773","153,729","155,093","155,977","157,544","159,800","161,325","163,524"
"Bécancour, Quebec","19,431","19,302","19,182","19,041","18,943","18,920","19,109","19,288","19,648","20,033","20,234","20,387","20,490","20,401","20,402","20,478","20,470","20,557","20,799","21,095","21,610","22,300"
"Arthabaska, Quebec","65,336","65,523","65,756","65,999","66,309","66,771","67,441","68,103","68,502","69,042","69,895","70,409","70,923","71,581","71,741","72,277","72,781","73,591","74,132","74,496","75,307","75,997"
"Les Sources, Quebec","14,815","14,733","14,599","14,524","14,542","14,500","14,516","14,544","14,641","14,818","14,810","14,771","14,702","14,508","14,348","14,281","14,278","14,311","14,301","14,410","14,564","14,732"
"Le Haut-Saint-François, Quebec","21,813","21,822","21,714","21,699","21,733","21,713","21,853","22,043","22,147","22,216","22,206","22,399","22,409","22,445","22,426","22,377","22,512","22,592","22,726","22,944","23,335","23,672"
"Le Val-Saint-François, Quebec","28,924","28,988","28,974","29,141","29,313","29,234","29,441","29,521","29,605","29,744","29,864","30,031","30,192","30,319","30,493","30,821","30,962","31,072","31,326","31,755","32,163","32,776"
"Sherbrooke, Quebec","141,640","143,324","145,221","146,594","147,658","148,965","149,931","151,119","152,780","154,516","156,522","157,737","158,831","159,905","160,410","162,373","163,834","166,217","168,765","171,036","172,835","175,684"
"Coaticook, Quebec","18,769","18,781","18,630","18,615","18,624","18,596","18,696","18,745","18,806","18,923","18,941","18,804","18,639","18,561","18,506","18,565","18,504","18,572","18,707","18,812","19,109","19,204"
"Memphrémagog, Quebec","43,198","43,646","44,428","44,982","45,379","45,553","46,189","46,776","47,363","48,065","48,753","48,994","49,534","49,830","50,197","50,531","51,107","51,624","52,124","53,053","54,499","55,215"
"Brome-Missisquoi, Quebec","51,938","52,205","52,457","52,782","52,885","53,071","53,599","54,091","54,450","55,348","56,042","56,647","57,162","57,553","57,936","58,567","59,473","60,440","61,626","63,470","66,026","67,744"
